Id,Rating
466-0,50.28378699077035
1173-0,41.75664126860614
566-1,39.700610580987664
49-3,31.64626980688517
772-3,27.076726287691905
1068-3,34.474383005181856
1534-3,30.451001697285843
39132-150,30.84182590695579
39671-150,50.86768311907384
40638-150,36.909401631689164
40715-150,32.06871839089991
40843-150,18.185869783615303
40742-151,37.825753309276415
2902-4,46.61327784276979
2087-6,31.399563760687936
2736-6,16.829573827840676
3699-6,31.36759818000515
2132-7,16.04184080953324
4554-7,24.844393557806733
4566-7,34.008647886009
2075-8,34.19711159540742
4648-8,31.666509516295395
4955-8,32.908231170941704
24180-69,32.341490204112155
24711-69,9.075703210610762
21545-70,10.68132301814795
21549-70,57.0273084776769
24174-70,63.34333771176645
24906-70,48.49073848970957
47507-173,29.636804038252787
47603-173,6.001163883794199
49132-174,13.901236728705335
49140-174,39.92013006651859
49123-175,28.569939031641542
50270-175,28.18423030574099
50292-175,38.7670409064132
1874-9,33.42749388366488
4858-9,27.074735402787265
2225-10,49.367140275074554
2684-10,38.59004633125953
5316-10,37.05985455129563
2501-11,66.46229467508356
4101-11,68.70225768555031
4207-11,53.5243240976182
4349-11,52.35447050869028
37779-11,41.029530130532784
2184-13,40.19487539331715
2283-13,23.568553108588347
5057-13,29.967866946136475
5365-13,50.73482307366119
6828-15,40.57284662543486
7084-16,48.74439594781463
39004-148,37.51821368101893
38847-149,17.484562495243356
39088-149,34.89608845095883
6683-17,91.08299504556445
8137-17,50.617677794531986
7885-18,40.882233263923894
8355-18,68.04386719765101
9376-20,46.77384143065236
8400-21,56.28171010772644
9591-21,37.92396339217753
8805-22,53.14395508184326
10043-22,41.82485464548428
8255-23,87.32569574889592
8570-23,48.150764375318815
5922-25,33.65815576130788
9634-25,47.34814915761782
10334-27,32.95774813119372
33857-140,43.67414244984779
34230-140,29.266867149688085
35230-140,21.4809751524736
35807-140,28.136575039430188
34337-141,18.727349875945613
35457-141,68.41164554299567
35593-141,37.49277812692367
34102-142,32.83717481753098
34364-142,25.013154412902303
35230-142,15.178745629791383
36023-142,45.33332341197749
36034-143,18.53605051630151
33230-144,29.30577192380938
